customer,state,response,coverage,education,effective_to_date,employmentstatus,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size,effective_to_month_in_2011
BU79786,Washington,0,Basic,Bachelor,2011-02-24,Employed,F,Suburban,Married,Corporate,3,1,Agent,Two-Door Car,Midsize,2
QZ44356,Arizona,0,Extended,Bachelor,2011-01-31,Unemployed,F,Suburban,Single,Personal,3,3,Agent,Four-Door Car,Midsize,1
AI49188,Nevada,0,Premium,Bachelor,2011-02-19,Employed,F,Suburban,Married,Personal,3,1,Agent,Two-Door Car,Midsize,2
WW63253,California,0,Basic,Bachelor,2011-01-20,Unemployed,M,Suburban,Married,Corporate,2,1,Call Center,SUV,Midsize,1
HB64268,Washington,0,Basic,Bachelor,2011-02-03,Employed,M,Rural,Single,Personal,1,1,Agent,Four-Door Car,Midsize,2
OC83172,Oregon,1,Basic,Bachelor,2011-01-25,Employed,F,Rural,Married,Personal,3,2,Web,Two-Door Car,Midsize,1
XZ87318,Oregon,1,Basic,College,2011-02-24,Employed,F,Suburban,Married,Corporate,3,1,Agent,Four-Door Car,Midsize,2
CF85061,Arizona,0,Premium,Master,2011-01-18,Unemployed,M,Urban,Single,Corporate,3,1,Agent,Four-Door Car,Midsize,1
BQ94931,Oregon,0,Extended,College,2011-02-17,Employed,F,Urban,Married,Special,2,2,Branch,Four-Door Car,Midsize,2
SX51350,California,0,Basic,College,2011-02-21,Unemployed,M,Suburban,Single,Personal,3,1,Agent,Four-Door Car,Small,2
VQ65197,California,0,Basic,College,2011-01-06,Unemployed,F,Suburban,Married,Personal,3,2,Agent,SUV,Midsize,1
DP39365,California,0,Premium,Master,2011-02-06,Employed,M,Urban,Married,Corporate,1,2,Agent,Four-Door Car,Midsize,2
SJ95423,Arizona,1,Basic,High School or Below,2011-01-10,Employed,M,Suburban,Married,Corporate,3,2,Branch,SUV,Midsize,1
IL66569,California,0,Basic,College,2011-01-18,Employed,M,Urban,Single,Corporate,3,4,Call Center,Four-Door Car,Midsize,1
BW63560,Oregon,0,Basic,Bachelor,2011-01-17,Employed,F,Rural,Married,Corporate,2,2,Branch,Four-Door Car,Midsize,1
FV94802,Nevada,0,Basic,High School or Below,2011-02-06,Medical Leave,M,Suburban,Married,Personal,3,2,Call Center,Two-Door Car,Midsize,2
OE15005,California,0,Basic,College,2011-01-05,Medical Leave,M,Suburban,Married,Personal,2,3,Call Center,SUV,Midsize,1
WC83389,Oregon,0,Basic,College,2011-02-27,Employed,M,Urban,Married,Personal,2,2,Branch,Four-Door Car,Midsize,2
FL50705,California,0,Premium,High School or Below,2011-01-14,Employed,F,Suburban,Married,Corporate,2,1,Call Center,Four-Door Car,Small,1
ZK25313,Oregon,0,Basic,High School or Below,2011-02-19,Employed,M,Suburban,Single,Personal,2,1,Branch,Two-Door Car,Midsize,2
SV62436,Washington,0,Extended,Bachelor,2011-01-21,Disabled,F,Suburban,Divorced,Personal,3,4,Call Center,Four-Door Car,Midsize,1
TZ98966,Nevada,0,Basic,Bachelor,2011-02-24,Unemployed,F,Suburban,Single,Corporate,3,1,Branch,Four-Door Car,Midsize,2
HM55802,California,0,Basic,Bachelor,2011-02-05,Disabled,F,Suburban,Married,Corporate,2,2,Branch,Four-Door Car,Midsize,2
FS42516,Oregon,0,Basic,College,2011-01-29,Employed,M,Suburban,Married,Personal,3,2,Call Center,Four-Door Car,Large,1
US89481,California,0,Premium,Bachelor,2011-02-28,Unemployed,F,Suburban,Single,Personal,3,1,Agent,Four-Door Car,Small,2
HO30839,Washington,0,Extended,Master,2011-02-12,Disabled,F,Urban,Married,Corporate,1,1,Branch,SUV,Midsize,2
GE62437,Arizona,0,Premium,College,2011-02-02,Employed,F,Suburban,Single,Personal,3,1,Call Center,Four-Door Car,Large,2
EJ77678,Oregon,0,Extended,Master,2011-02-07,Employed,F,Suburban,Married,Personal,3,2,Branch,Four-Door Car,Small,2
SV85652,Arizona,0,Basic,College,2011-02-28,Employed,M,Suburban,Married,Personal,2,4,Call Center,Four-Door Car,Small,2
PF41800,California,0,Basic,Bachelor,2011-01-25,Unemployed,M,Urban,Married,Personal,3,1,Call Center,Four-Door Car,Midsize,1
AO98601,Washington,0,Basic,Bachelor,2011-01-18,Employed,M,Suburban,Married,Corporate,2,1,Agent,Two-Door Car,Small,1
SK67821,Oregon,0,Basic,Bachelor,2011-02-13,Employed,F,Rural,Married,Corporate,1,3,Web,Four-Door Car,Midsize,2
YV55495,Arizona,0,Basic,High School or Below,2011-01-15,Employed,F,Urban,Married,Personal,1,1,Branch,Four-Door Car,Midsize,1
KY38074,California,0,Premium,Bachelor,2011-01-08,Employed,M,Suburban,Married,Personal,3,1,Agent,Four-Door Car,Small,1
DM79012,Oregon,0,Extended,Master,2011-02-06,Employed,F,Suburban,Married,Personal,3,2,Web,Four-Door Car,Small,2
