customer,state,response,coverage,education,effective_to_date,employmentstatus,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size,effective_to_month_in_2011,CW
BU79786,Washington,0,Basic,Bachelor,2011-02-24,Employed,F,Suburban,Married,Corporate,3,1,Agent,Two-Door Car,Midsize,2,8
QZ44356,Arizona,0,Extended,Bachelor,2011-01-31,Unemployed,F,Suburban,Single,Personal,3,3,Agent,Four-Door Car,Midsize,1,5
AI49188,Nevada,0,Premium,Bachelor,2011-02-19,Employed,F,Suburban,Married,Personal,3,1,Agent,Two-Door Car,Midsize,2,7
WW63253,California,0,Basic,Bachelor,2011-01-20,Unemployed,M,Suburban,Married,Corporate,2,1,Call Center,SUV,Midsize,1,3
HB64268,Washington,0,Basic,Bachelor,2011-02-03,Employed,M,Rural,Single,Personal,1,1,Agent,Four-Door Car,Midsize,2,5
OC83172,Oregon,1,Basic,Bachelor,2011-01-25,Employed,F,Rural,Married,Personal,3,2,Web,Two-Door Car,Midsize,1,4
XZ87318,Oregon,1,Basic,College,2011-02-24,Employed,F,Suburban,Married,Corporate,3,1,Agent,Four-Door Car,Midsize,2,8
CF85061,Arizona,0,Premium,Master,2011-01-18,Unemployed,M,Urban,Single,Corporate,3,1,Agent,Four-Door Car,Midsize,1,3
BQ94931,Oregon,0,Extended,College,2011-02-17,Employed,F,Urban,Married,Special,2,2,Branch,Four-Door Car,Midsize,2,7
SX51350,California,0,Basic,College,2011-02-21,Unemployed,M,Suburban,Single,Personal,3,1,Agent,Four-Door Car,Small,2,8
VQ65197,California,0,Basic,College,2011-01-06,Unemployed,F,Suburban,Married,Personal,3,2,Agent,SUV,Midsize,1,1
DP39365,California,0,Premium,Master,2011-02-06,Employed,M,Urban,Married,Corporate,1,2,Agent,Four-Door Car,Midsize,2,5
SJ95423,Arizona,1,Basic,High School or Below,2011-01-10,Employed,M,Suburban,Married,Corporate,3,2,Branch,SUV,Midsize,1,2
IL66569,California,0,Basic,College,2011-01-18,Employed,M,Urban,Single,Corporate,3,4,Call Center,Four-Door Car,Midsize,1,3
BW63560,Oregon,0,Basic,Bachelor,2011-01-17,Employed,F,Rural,Married,Corporate,2,2,Branch,Four-Door Car,Midsize,1,3
FV94802,Nevada,0,Basic,High School or Below,2011-02-06,Medical Leave,M,Suburban,Married,Personal,3,2,Call Center,Two-Door Car,Midsize,2,5
